Date,Open,High,Low,Close,Volume,daily_return,MA7,MA21
2021-08-13,165.2834930419922,165.30349731445312,164.14999389648438,164.69850158691406,41134000,,,
2021-08-16,164.14999389648438,165.0,160.55650329589844,164.94949340820312,66394000,0.0015239472057770875,,
2021-08-17,163.875,164.02450561523438,161.28399658203125,162.09800720214844,67758000,-0.01728702615047184,,
2021-08-18,162.09950256347656,162.7050018310547,160.0,160.06100463867188,56086000,-0.012566487390164305,,
2021-08-19,159.7010040283203,161.64999389648438,159.1230010986328,159.3874969482422,75658000,-0.0042078187123096855,,
2021-08-20,160.19349670410156,160.3905029296875,158.78799438476562,159.99749755859375,67168000,0.003827154714335368,,
2021-08-23,160.59500122070312,164.0449981689453,160.50050354003906,163.2935028076172,65362000,0.02060035500127988,162.0693577357701,
2021-08-24,164.0,165.77450561523438,163.72900390625,165.28900146484375,51036000,0.012220318769066596,162.1537148611886,
2021-08-25,165.49349975585938,166.0500030517578,164.3074951171875,164.95899963378906,33606000,-0.0019965141547840792,162.15507289341517,
2021-08-26,164.9499969482422,166.60000610351562,164.8000030517578,165.8000030517578,41976000,0.005098257262930783,162.68392944335938,
2021-08-27,166.6614990234375,167.61599731445312,165.6875,167.48150634765625,48048000,0.01014175672465778,163.74400111607142,
2021-08-30,167.8715057373047,172.25,167.76100158691406,171.07850646972656,63844000,0.021476998866989616,165.41414533342635,
2021-08-31,171.24000549316406,173.62899780273438,169.7794952392578,173.5395050048828,87128000,0.01438520002272603,167.34871782575334,
2021-09-01,174.82000732421875,176.35000610351562,173.76199340820312,173.9499969482422,72598000,0.0023654092095504176,168.87107413155692,
2021-09-02,174.73800659179688,175.59800720214844,172.75,173.156005859375,58474000,-0.004564478889317991,169.99493190220423,
2021-09-03,172.60000610351562,174.1334991455078,171.82200622558594,173.90249633789062,51514000,0.004311086264728647,171.27257428850447,
2021-09-07,173.89999389648438,176.4044952392578,173.8470001220703,175.46449279785156,54758000,0.008982024369138308,172.65321568080358,
2021-09-08,175.58250427246094,177.281494140625,174.7834930419922,176.27499389648438,61068000,0.004619174430729789,173.909428187779,
2021-09-09,176.30099487304688,177.49949645996094,174.01849365234375,174.20799255371094,54384000,-0.011726004336084506,174.35649762834822,
2021-09-10,175.0915069580078,175.42250061035156,173.14549255371094,173.45750427246094,47946000,-0.004308001431212238,174.34478323800224,
2021-09-13,174.13999938964844,174.8979949951172,171.89999389648438,172.85850524902344,51380000,-0.0034532897607970625,174.18885585239954,168.37642923990884
2021-09-14,173.77749633789062,174.3404998779297,171.885498046875,172.5,38738000,-0.002073980962099431,174.0951407296317,168.7479291643415
2021-09-15,172.12600708007812,174.27099609375,170.10049438476562,173.7895050048828,59150000,0.007475391332653958,174.07899911063058,169.16888209751673
2021-09-16,172.9980010986328,174.62750244140625,172.3070068359375,174.41200256347656,51672000,0.0035819053548502566,173.92864336286272,169.75526282900856
2021-09-17,174.42050170898438,174.87049865722656,172.60650634765625,173.12600708007812,92332000,-0.007373319866162298,173.4787881033761,170.37740580240884
2021-09-20,169.8000030517578,170.9499969482422,165.25050354003906,167.7864990234375,93382000,-0.03084174438431353,172.56143188476562,170.77735828218005
2021-09-21,168.75,168.98500061035156,166.6195068359375,167.18150329589844,55618000,-0.0036057473697842513,171.66486031668526,171.1194537934803
2021-09-22,167.5500030517578,169.4499969482422,167.05250549316406,169.00250244140625,48228000,0.01089234819407503,171.11400277273995,171.3913109188988
2021-09-23,169.00250244140625,171.447998046875,169.00250244140625,170.8000030517578,47588000,0.01063594079605279,170.87114606584822,171.6537395658947
2021-09-24,170.10049438476562,171.46299743652344,169.6699981689453,171.2760009765625,42324000,0.0027868730462519142,170.51207406180245,171.95454915364584
2021-09-27,168.5749969482422,170.77850341796875,166.98049926757812,170.2899932861328,72690000,-0.005756835077931344,169.92321559361048,172.1683582124256
2021-09-28,167.885498046875,168.45950317382812,164.5050048828125,165.79800415039062,88616000,-0.0263784679831095,168.87635803222656,172.08819144112724
2021-09-29,166.10549926757812,167.56500244140625,164.89349365234375,165.05599975585938,51246000,-0.004475351789266391,168.48628670828683,171.80140540713356
2021-09-30,165.8000030517578,166.3925018310547,163.69949340820312,164.2519989013672,56848000,-0.0048710792439015105,168.06778608049666,171.35914321172805
2021-10-01,164.45050048828125,165.45849609375,162.7969970703125,164.16299438476562,56712000,-0.0005418778291703674,167.37642778669084,170.89309547061012
2021-10-04,163.96949768066406,163.99949645996094,158.8125,159.48899841308594,90462000,-0.028471678341373097,165.7605699811663,170.2422855922154
2021-10-05,160.22500610351562,163.0364990234375,160.1230010986328,161.0500030517578,65384000,0.00978753803838428,164.29971313476562,169.63026210239954
2021-10-06,160.67649841308594,163.2169952392578,159.93099975585938,163.10049438476562,50660000,0.012732016728672857,163.27264186314173,169.04150027320497
2021-10-07,164.57699584960938,166.28750610351562,164.1529998779297,165.1215057373047,48182000,0.012391203105561077,163.1759992327009,168.51038178943452
2021-10-08,165.85000610351562,166.07150268554688,164.41000366210938,164.43099975585938,39964000,-0.004181805261295635,163.08671351841517,168.04481070382255
2021-10-11,163.75,164.62950134277344,161.90499877929688,162.31500244140625,40684000,-0.01286860335091844,162.80999973842077,167.51421537853423
2021-10-12,162.85000610351562,163.37649536132812,161.81399536132812,162.3665008544922,36392000,0.0003172745113595443,162.55335780552454,167.01459612165178
2021-10-13,163.48550415039062,164.41900634765625,163.05450439453125,164.21400451660156,48402000,0.011378601203982708,163.22835867745536,166.6200249081566
2021-10-14,165.12249755859375,165.6300048828125,164.53900146484375,164.9929962158203,42190000,0.004743759227551214,163.79164341517858,166.2011435372489
2021-10-15,165.5709991455078,170.52099609375,165.1999969482422,170.4510040283203,103598000,0.03308023939004423,164.84171622140067,166.0125245593843
2021-10-18,169.41799926757812,172.45849609375,169.2550048828125,172.33700561523438,63482000,0.011064772529006062,165.87250191824776,165.97495306105841
2021-10-19,171.71449279785156,172.7344970703125,171.10000610351562,172.20750427246094,47722000,-0.0007514424560826072,166.98343113490515,166.18547712053572
2021-10-20,172.63299560546875,173.14300537109375,170.01849365234375,170.7530059814453,42796000,-0.008446195751808605,168.18886021205358,166.35554867699034
2021-10-21,170.71249389648438,172.01400756835938,170.14999389648438,171.75050354003906,37628000,0.005841756945129006,169.52943202427454,166.48640587216332
2021-10-22,171.0500030517578,171.49200439453125,166.56500244140625,166.77749633789062,62782000,-0.028954833317208384,169.89564514160156,166.29485793340774
2021-10-25,166.75,167.38999938964844,164.88499450683594,166.01849365234375,44520000,-0.004550989805058192,170.04214477539062,166.04450044177827
2021-10-26,167.47549438476562,170.80599975585938,167.19900512695312,168.80349731445312,53966000,0.01677526160393561,169.8067866734096,165.97371491931733
2021-10-27,169.39999389648438,171.85000610351562,168.57249450683594,169.62449645996094,54044000,0.004863638245470758,169.4192853655134,166.15592883882067
2021-10-28,170.10499572753906,173.9499969482422,169.3000030517578,172.32850646972656,114174000,0.01594115275917063,169.4365713936942,166.50223868233817
2021-10-29,165.00100708007812,168.74099731445312,163.66600036621094,168.6215057373047,129722000,-0.021511245053778105,169.13207135881697,166.71031043643043
2021-11-01,168.08999633789062,168.79299926757812,164.6009979248047,165.90550231933594,72178000,-0.01610709978002456,168.2970711844308,166.7932870047433
2021-11-02,165.75050354003906,166.55599975585938,164.17750549316406,165.6374969482422,52552000,-0.0016154097805501921,168.13421412876673,167.08607264927454
2021-11-03,165.4499969482422,169.74600219726562,164.87600708007812,169.1999969482422,67944000,0.021507811127532195,168.58871459960938,167.4741675967262
2021-11-04,168.5,174.93150329589844,168.25,173.85000610351562,107060000,0.02748232410840923,169.3096444266183,167.98604910714286
2021-11-05,173.85000610351562,178.3125,173.8489990234375,175.94949340820312,99940000,0.01207642928374364,170.21321541922433,168.50166756766183
2021-11-08,176.16200256347656,178.9499969482422,174.39300537109375,174.44900512695312,61480000,-0.008527948857282919,170.51614379882812,168.97871544247582
2021-11-09,175.7624969482422,179.68850708007812,175.07150268554688,178.81149291992188,85898000,0.025007238016599764,171.97185625348772,169.76426260811942
2021-11-10,178.19349670410156,180.2725067138672,173.1544952392578,174.1024932861328,80548000,-0.026334994227121156,173.14285496303015,170.32311939057848
2021-11-11,175.64999389648438,177.16200256347656,173.37350463867188,173.625,45288000,-0.0027425987825921982,174.28392682756697,170.7712620326451
2021-11-12,174.25,177.0364990234375,172.3524932861328,176.25750732421875,53788000,0.015162029225161966,175.2921425955636,171.3076673235212
2021-11-15,176.85000610351562,179.69400024414062,176.29049682617188,177.28399658203125,58594000,0.0058238044631160335,175.78271266392298,171.63304792131697
2021-11-16,176.9499969482422,178.8249969482422,176.25750732421875,177.03500366210938,44342000,-0.001404486161877938,175.93778555733817,171.8567621140253
2021-11-17,178.23599243164062,179.3625030517578,177.2675018310547,177.4499969482422,51206000,0.0023441312596286235,176.36649867466517,172.10640462239584
2021-11-18,178.3175048828125,185.2100067138672,178.0500030517578,184.8029937744141,114070000,0.04143700734081501,177.22242736816406,172.77545166015625
2021-11-19,185.63450622558597,188.1074981689453,183.78599548339844,183.82850646972656,98734000,-0.005273114275827551,178.61185782296317,173.35059465680803
2021-11-22,183.81900024414065,185.67300415039065,178.375,178.6284942626953,96844000,-0.02828730052206352,179.32664271763392,173.91492789132255
2021-11-23,179.2519989013672,181.0525054931641,176.385498046875,179.0019989013672,73804000,0.0020909577736383245,179.71871294294084,174.53319004603796
2021-11-24,178.1334991455078,180.6820068359375,176.84249877929688,179.02049255371094,46560000,0.00010331533981333685,179.96678379603796,175.01971362885973
2021-11-26,180.10499572753906,181.6750030517578,175.20750427246094,175.22799682617188,59826000,-0.021184701669844985,179.7086399623326,175.2865469796317
2021-11-29,177.3820037841797,179.8000030517578,176.5749969482422,178.07850646972656,65312000,0.016267432688752415,179.79842703683036,175.56035650344123
2021-11-30,178.1750030517578,179.2884979248047,174.60049438476562,175.35350036621094,80022000,-0.015302274022490625,178.44849940708704,175.88092767624627
2021-12-01,177.25,177.99400329589844,172.0800018310547,172.18600463867188,74916000,-0.0180634873037836,176.78528485979353,176.17999921526228
2021-12-02,173.0,174.63499450683594,171.1875,171.8679962158203,64726000,-0.0018468889124809706,175.81949942452567,176.47668965657553
2021-12-03,172.75,173.49349975585938,166.92999267578125,169.489501953125,80712000,-0.013839076006382012,174.4605712890625,176.490475609189
2021-12-06,169.64999389648438,173.69549560546875,166.9344940185547,171.36849975585938,68860000,0.011086219388703134,173.36742946079798,176.37230864025298
2021-12-07,174.60000610351562,177.49949645996094,173.33450317382812,176.1645050048828,66410000,0.027986504263362688,173.501216343471,176.38254728771392
