Date,Open,High,Low,Close,Volume,daily_return,MA7,MA21
2021-08-13,362.9700012207031,364.6600036621094,361.4800109863281,363.1799926757813,7195700,,,
2021-08-16,362.5199890136719,366.9500122070313,357.3800048828125,366.55999755859375,11222100,0.009306693515547915,,
2021-08-17,362.9800109863281,364.6700134277344,355.07000732421875,358.45001220703125,12328700,-0.022124578256158878,,
2021-08-18,356.25,359.8599853515625,355.1499938964844,355.45001220703125,10042400,-0.008369367827688268,,
2021-08-19,351.3500061035156,357.57000732421875,351.0,355.1199951171875,12004500,-0.000928448666507653,,
2021-08-20,354.6000061035156,359.989990234375,353.3099975585937,359.3699951171875,8697700,0.011967785701837208,,
2021-08-23,359.44000244140625,365.6900024414063,359.1000061035156,363.3500061035156,10942000,0.011074967416326187,360.21143014090404,
2021-08-24,363.6600036621094,367.9599914550781,361.8399963378906,365.510009765625,9235100,0.005944691415510794,360.5442897251674,
2021-08-25,365.6000061035156,370.8599853515625,365.3999938964844,368.3900146484375,9684500,0.007879414532748985,360.8057207380022,
2021-08-26,368.3800048828125,369.4400024414063,364.1300048828125,364.3800048828125,7888700,-0.010885229257508122,361.6528625488281,
2021-08-27,365.1000061035156,373.739990234375,364.0799865722656,372.6300048828125,11219100,0.02264119844515955,364.1071472167969,
2021-08-30,372.55999755859375,381.489990234375,370.5199890136719,380.6600036621094,13547300,0.021549522781511454,367.75571986607144,
2021-08-31,379.9500122070313,382.760009765625,378.7999877929688,379.3800048828125,12345400,-0.0033625775415928594,370.61429268973217,
2021-09-01,379.5899963378906,384.3299865722656,378.80999755859375,382.0499877929688,11567200,0.0070377533760142,373.2857186453683,
2021-09-02,381.5,381.75,374.05999755859375,375.2799987792969,14832900,-0.01772016550185196,374.68143136160717,
2021-09-03,374.75,377.1600036621094,373.1099853515625,376.260009765625,7509600,0.002611412783830369,375.8057163783482,
2021-09-07,375.8800048828125,382.9599914550781,373.1499938964844,382.1799926757813,10793800,0.015733755266322147,378.34857177734375,
2021-09-08,380.1600036621094,380.8699951171875,374.7900085449219,377.5700073242188,11067200,-0.012062340886257017,379.05428641183033,
2021-09-09,377.6400146484375,379.8299865722656,376.5700073242188,378.0,9098900,0.0011388422476363846,378.6742858886719,
2021-09-10,381.3599853515625,383.7900085449219,378.260009765625,378.6900024414063,11549600,0.0018254032841436008,378.5757141113282,
2021-09-13,381.6799926757813,381.75,374.3500061035156,376.510009765625,13026300,-0.005756668150009081,377.7842886788505,370.4271458217076
2021-09-14,377.3999938964844,378.5899963378906,375.1099853515625,376.5299987792969,8711600,5.309025830224634e-05,377.96286010742193,371.0628603980655
2021-09-15,377.0,377.55999755859375,367.6700134277344,373.9200134277344,17940300,-0.006931679706860039,377.6285749162947,371.41333734421505
2021-09-16,372.7900085449219,373.55999755859375,369.7099914550781,373.05999755859375,11934200,-0.0022999995674390927,376.3257184709822,372.10905093238466
2021-09-17,371.4100036621094,371.4100036621094,361.5899963378906,364.7200012207031,26299000,-0.02235564357601949,374.49000331333707,372.55047898065476
2021-09-20,359.29998779296875,361.0299987792969,349.79998779296875,355.70001220703125,19822800,-0.024731270518431492,371.3042907714844,372.5780988420759
2021-09-21,358.5,360.0400085449219,355.19000244140625,357.4800109863281,11751900,0.005004213433259075,368.2742919921875,372.4880995977493
2021-09-22,347.2300109863281,349.8399963378906,340.69000244140625,343.2099914550781,43692900,-0.03991837051777358,363.5171465192522,371.52905128115697
2021-09-23,345.3599853515625,349.6700134277344,343.0,345.9599914550781,21806300,0.008012587245321834,359.1500026157924,370.5980980282738
2021-09-24,343.239990234375,354.3500061035156,342.3699951171875,352.9599914550781,18801900,0.020233553511660674,356.1557137625558,369.8633350190662
