ticker,model_type,rmse,mae,mape,training_time_seconds
AAPL,lstm,11.245017702547909,9.499255558897817,3.276779590853978,8.289075374603271
AAPL,gru,5.815779859124494,4.32300464074312,1.5205291285108826,18.71392250061035
MSFT,lstm,20.269455086862777,13.922186455102855,3.2713196669503217,6.188666820526123
MSFT,gru,14.668106374489618,10.135043074923841,2.3842618574363796,17.209148645401
NVDA,lstm,8.667888038204737,7.227118019221578,3.718097241287019,6.150241136550903
NVDA,gru,7.932285113618822,6.195568432860758,3.0692113269948527,15.836309909820557
META,lstm,32.65095679480413,25.725947900348267,4.15261822933611,5.627202749252319
META,gru,25.91033317807977,19.82310151025471,3.19939506088147,15.40544319152832
PLTR,lstm,11.565783340074882,9.01801300814268,6.442359016173138,5.942899942398071
PLTR,gru,9.53102732315428,7.314632071463116,5.180528309285334,15.967418193817139
GOOGL,lstm,14.415851832420643,11.29344051499236,3.355309802226636,7.095570087432861
GOOGL,gru,15.168747981970265,11.757748935708628,3.3722154020161237,16.357244729995728
TTWO,lstm,11.098514264742915,8.747685965656682,4.006903915758862,6.255967855453491
TTWO,gru,8.490217040680923,6.494356188874438,2.9531769324353094,17.087688446044922
TSLA,lstm,13.852146928868178,10.488460832765226,2.707413648035962,6.876060962677002
TSLA,gru,13.703804387867326,10.403785339430387,2.690472959069429,17.19617486000061
AMZN,lstm,10.769034588445171,7.948966378520793,3.26352041658041,6.56611442565918
AMZN,gru,8.000287363106986,5.82796672616579,2.452464744849851,16.839990854263306
AMD,lstm,24.089420762160607,17.534403878897482,4.788542255510542,6.421542406082153
AMD,gru,45.14392681538808,33.386672956201295,7.9301212729015385,17.640196561813354
